wl,n,,wl,k,alpha,,,,,,"Z. Holman, M. Filipic, A. Descoeudres, S. De Wolf, F. Smole, M. Topic and C. Ballif, 'Infrared light management in high-efficiency silicon heterojunction and rear-passivated solar cells', Journal of Applied Physics 113(1), p. 013107, 2013."
(nm),,,(nm),,,,,,,,
1800,1.964,,1800,1.10E-02,764.5,,,,,,
1805,1.964,,1805,1.10E-02,768.6,,,,,,
1810,1.964,,1810,1.11E-02,772.7,,,,,,
1815,1.963,,1815,1.12E-02,776.8,,,,,,
1820,1.963,,1820,1.13E-02,780.9,,,,,,
1825,1.963,,1825,1.14E-02,785,,,,,,
1830,1.963,,1830,1.15E-02,789,,,,,,
1835,1.962,,1835,1.16E-02,793.7,,,,,,
1840,1.962,,1840,1.17E-02,797.7,,,,,,
1845,1.962,,1845,1.18E-02,801.7,,,,,,
1850,1.961,,1850,1.19E-02,805.6,,,,,,
1855,1.961,,1855,1.20E-02,810.2,,,,,,
1860,1.961,,1860,1.21E-02,814.1,,,,,,
1865,1.961,,1865,1.22E-02,818.7,,,,,,
1870,1.96,,1870,1.22E-02,822.5,,,,,,
1875,1.96,,1875,1.23E-02,827,,,,,,
1880,1.96,,1880,1.24E-02,830.9,,,,,,
1885,1.96,,1885,1.25E-02,835.3,,,,,,
1890,1.959,,1890,1.26E-02,839.8,,,,,,
1895,1.959,,1895,1.27E-02,844.2,,,,,,
1900,1.959,,1900,1.28E-02,847.9,,,,,,
1905,1.958,,1905,1.29E-02,852.3,,,,,,
1910,1.958,,1910,1.30E-02,856.6,,,,,,
1915,1.958,,1915,1.31E-02,860.9,,,,,,
1920,1.958,,1920,1.32E-02,865.2,,,,,,
1925,1.957,,1925,1.33E-02,869.5,,,,,,
1930,1.957,,1930,1.34E-02,873.8,,,,,,
1935,1.957,,1935,1.35E-02,878,,,,,,
1940,1.957,,1940,1.36E-02,882.9,,,,,,
1945,1.956,,1945,1.37E-02,887.1,,,,,,
1950,1.956,,1950,1.38E-02,891.2,,,,,,
1955,1.956,,1955,1.39E-02,895.4,,,,,,
1960,1.956,,1960,1.40E-02,900.2,,,,,,
1965,1.955,,1965,1.41E-02,904.3,,,,,,
1970,1.955,,1970,1.43E-02,909,,,,,,
1975,1.955,,1975,1.44E-02,913.1,,,,,,
1980,1.954,,1980,1.45E-02,917.7,,,,,,
1985,1.954,,1985,1.46E-02,922.4,,,,,,
1990,1.954,,1990,1.47E-02,926.4,,,,,,
1995,1.954,,1995,1.48E-02,931,,,,,,
2000,1.953,,2000,1.49E-02,935.6,,,,,,
